"pkmnSpeciesId","orderNum","name","baseCatchRate","baseEggCycle","generationId","genderRatioId","growthRateId","speciesTypeId1","speciesTypeId2","habitatId","palParkAreaId","IQGroup","bodySize","recruitChance1","recruitChance2","recruitChance3","stage","familySpeciesId","formCount","evolutionCount","preEvolutionCount"
"19","19","Rattata","255","15","1","5","2",NULL,NULL,"3","2","F","1","-24","144",NULL,"1","19","2","1","0"
"20","20","Raticate","127","15","1","5","2",NULL,NULL,"3","2","F","1","-24","108",NULL,"2","19","2","0","1"
"21","21","Spearow","255","15","1","5","2",NULL,NULL,"6","2","D","1","-24","144",NULL,"1","21","1","1","0"
"22","22","Fearow","90","15","1","5","2",NULL,NULL,"6","2","D","1","-24","108",NULL,"2","21","1","0","1"
"23","23","Ekans","255","20","1","5","2",NULL,NULL,"3","1","C","1","-24","82",NULL,"1","23","1","1","0"
"24","24","Arbok","90","20","1","5","2",NULL,NULL,"3","1","C","1","-24","108",NULL,"2","23","1","0","1"
"25","26","Pikachu","190","10","1","5","2",NULL,NULL,"2","1","D","1","-24","82",NULL,"2","172","17","1","1"
"26","27","Raichu","75","10","1","5","2",NULL,NULL,"2","1","D","1","-24","82",NULL,"3","172","2","0","1"
"27","28","Sandshrew","255","20","1","5","2",NULL,NULL,"6","3","D","1","-24","108",NULL,"1","27","2","1","0"
"28","29","Sandslash","90","20","1","5","2",NULL,NULL,"6","3","D","1","-24","108",NULL,"2","27","2","0","1"
"29","30","Nidoran F","235","20","1","2","4",NULL,NULL,"3","2","C","1","-24","144",NULL,"1","29","1","1","0"
"30","31","Nidorina","120","20","1","2","4",NULL,NULL,"3","2","C","1","-24","108",NULL,"2","29","1","1","1"
"31","32","Nidoqueen","45","20","1","2","4",NULL,NULL,"3","2","C","1","-24","108",NULL,"3","29","1","0","1"
"32","33","Nidoran M","235","20","1","8","4",NULL,NULL,"3","2","C","1","-24","108",NULL,"1","32","1","1","0"
"33","34","Nidorino","120","20","1","8","4",NULL,NULL,"3","2","C","1","-24","108",NULL,"2","32","1","1","1"
"34","35","Nidoking","45","20","1","8","4",NULL,NULL,"3","2","C","1","-24","108",NULL,"3","32","1","0","1"
"35","37","Clefairy","150","10","1","4","3",NULL,NULL,"4","3","B","1","-24","64",NULL,"2","173","1","1","1"
"36","38","Clefable","25","10","1","4","3",NULL,NULL,"4","3","B","1","-24","169",NULL,"3","173","1","0","1"
"37","39","Vulpix","190","20","1","4","2",NULL,NULL,"3","2","G","1","-24","82",NULL,"1","37","2","1","0"
"38","40","Ninetales","75","20","1","4","2",NULL,NULL,"3","2","G","1","-24","64","-64","2","37","2","0","1"
"39","42","Jigglypuff","170","10","1","4","3",NULL,NULL,"3","2","B","1","-24","169",NULL,"2","174","1","1","1"
"40","43","Wigglytuff","50","10","1","4","3",NULL,NULL,"3","2","B","1","-24","169",NULL,"3","174","1","0","1"
"41","44","Zubat","255","15","1","5","2",NULL,NULL,"1","3","D","1","-24","108",NULL,"1","41","1","1","0"
"42","45","Golbat","90","15","1","5","2",NULL,NULL,"1","3","D","1","-24","108",NULL,"2","41","1","1","1"
"43","47","Oddish","255","20","1","5","4",NULL,NULL,"3","1","B","1","-24","144",NULL,"1","43","1","1","0"
"44","48","Gloom","120","20","1","5","4",NULL,NULL,"3","1","B","1","-24","144",NULL,"2","43","1","2","1"
"45","49","Vileplume","45","20","1","5","4",NULL,NULL,"3","1","B","1","-24","108",NULL,"3","43","1","0","1"
"46","51","Paras","190","20","1","5","2",NULL,NULL,"2","1","A","1","-24","144",NULL,"1","46","1","1","0"
"47","52","Parasect","75","20","1","5","2",NULL,NULL,"2","1","A","1","-24","169",NULL,"2","46","1","0","1"
"48","53","Venonat","190","20","1","5","2",NULL,NULL,"2","1","A","1","-24","108",NULL,"1","48","1","1","0"
"49","54","Venomoth","75","20","1","5","2",NULL,NULL,"2","1","A","1","-24","108",NULL,"2","48","1","0","1"
"50","55","Diglett","255","20","1","5","2",NULL,NULL,"1","3","A","1","-24","144",NULL,"1","50","2","1","0"
"51","56","Dugtrio","50","20","1","5","2",NULL,NULL,"1","3","A","1","-24","82",NULL,"2","50","2","0","1"
"52","57","Meowth","255","20","1","5","2",NULL,NULL,"8","2","G","1","-24","169",NULL,"1","52","4","2","0"
"53","58","Persian","90","20","1","5","2",NULL,NULL,"8","2","G","1","-24","169",NULL,"2","52","2","0","1"
"54","60","Psyduck","190","20","1","5","2",NULL,NULL,"9","4","C","1","-24","169",NULL,"1","54","1","1","0"
"55","61","Golduck","75","20","1","5","2",NULL,NULL,"9","4","C","1","-24","82",NULL,"2","54","1","0","1"
"56","62","Mankey","190","20","1","5","2",NULL,NULL,"4","3","C","1","-24","108",NULL,"1","56","1","1","0"
"57","63","Primeape","75","20","1","5","2",NULL,NULL,"4","3","C","1","-24","107",NULL,"2","56","1","1","1"
"58","65","Growlithe","190","20","1","6","1",NULL,NULL,"3","2","C","1","-24","108",NULL,"1","58","2","1","0"
"59","66","Arcanine","75","20","1","6","1",NULL,NULL,"3","2","C","1","-24","108",NULL,"2","58","2","0","1"
"60","67","Poliwag","255","20","1","5","4",NULL,NULL,"9","4","F","1","-24","144",NULL,"1","60","1","1","0"
"61","68","Poliwhirl","120","20","1","5","4",NULL,NULL,"9","4","F","1","-24","82",NULL,"2","60","1","2","1"
"62","69","Poliwrath","45","20","1","5","4",NULL,NULL,"9","4","F","1","-24","82",NULL,"3","60","1","0","1"
"63","71","Abra","200","20","1","6","4",NULL,NULL,"8","2","F","1","-24","82",NULL,"1","63","1","1","0"
"64","72","Kadabra","100","20","1","6","4",NULL,NULL,"8","2","F","1","-24","82",NULL,"2","63","1","1","1"
"65","73","Alakazam","50","20","1","6","4",NULL,NULL,"8","2","F","1","-24","64",NULL,"3","63","2","0","1"
"66","74","Machop","180","20","1","6","4",NULL,NULL,"4","3","D","1","-24","82",NULL,"1","66","1","1","0"
"67","75","Machoke","90","20","1","6","4",NULL,NULL,"4","3","D","1","-24","82",NULL,"2","66","1","1","1"
"68","76","Machamp","45","20","1","6","4",NULL,NULL,"4","3","D","1","-24","82",NULL,"3","66","2","0","1"
"69","77","Bellsprout","255","20","1","5","4",NULL,NULL,"2","1","G","1","-24","169",NULL,"1","69","1","1","0"
"70","78","Weepinbell","120","20","1","5","4",NULL,NULL,"2","1","G","1","-24","169",NULL,"2","69","1","1","1"
"71","79","Victreebel","45","20","1","5","4",NULL,NULL,"2","1","G","1","-24","169",NULL,"3","69","1","0","1"
"72","80","Tentacool","190","20","1","5","1",NULL,NULL,"7","5","C","1","-24","82",NULL,"1","72","1","1","0"
"73","81","Tentacruel","60","20","1","5","1",NULL,NULL,"7","5","C","1","-24","82",NULL,"2","72","1","0","1"
"74","82","Geodude","255","15","1","5","4",NULL,NULL,"4","3","E","1","-24","144",NULL,"1","74","2","1","0"
"75","83","Graveler","120","15","1","5","4",NULL,NULL,"4","3","E","1","-24","108",NULL,"2","74","2","1","1"
"76","84","Golem","45","15","1","5","4",NULL,NULL,"4","3","E","1","-24","108",NULL,"3","74","2","0","1"
"77","85","Ponyta","190","20","1","5","2",NULL,NULL,"3","2","D","1","-24","64",NULL,"1","77","2","1","0"
"78","86","Rapidash","60","20","1","5","2",NULL,NULL,"3","2","D","1","-24","-22","-64","2","77","2","0","1"
"79","87","Slowpoke","190","20","1","5","2",NULL,NULL,"9","4","B","1","-24","82",NULL,"1","79","2","2","0"
"80","88","Slowbro","75","20","1","5","2",NULL,NULL,"9","4","B","1","-24","82",NULL,"2","79","3","0","1"
"81","90","Magnemite","190","20","1","1","2",NULL,NULL,"6","3","A","1","-24","82",NULL,"1","81","1","1","0"
"82","91","Magneton","60","20","1","1","2",NULL,NULL,"6","3","A","1","-24","82",NULL,"2","81","1","1","1"
"83","93","Farfetch'd","45","20","1","5","2",NULL,NULL,"3","2","G","1","-24","144",NULL,"1","83","2","1","0"
"84","95","Doduo","190","20","1","5","2",NULL,NULL,"3","2","D","1","-24","108",NULL,"1","84","1","1","0"
"85","96","Dodrio","45","20","1","5","2",NULL,NULL,"3","2","D","1","-24","82",NULL,"2","84","1","0","1"
"86","97","Seel","190","20","1","5","2",NULL,NULL,"7","5","H","1","-24","108",NULL,"1","86","1","1","0"
"87","98","Dewgong","75","20","1","5","2",NULL,NULL,"7","5","H","1","-24","82",NULL,"2","86","1","0","1"
"88","99","Grimer","190","20","1","5","2",NULL,NULL,"8","2","G","1","-24","108",NULL,"1","88","2","1","0"
"89","100","Muk","75","20","1","5","2",NULL,NULL,"8","2","G","1","-24","82",NULL,"2","88","2","0","1"
"90","101","Shellder","190","20","1","5","1",NULL,NULL,"7","5","E","1","-24","82",NULL,"1","90","1","1","0"
"91","102","Cloyster","60","20","1","5","1",NULL,NULL,"7","5","E","1","-24","16",NULL,"2","90","1","0","1"
"92","103","Gastly","190","20","1","5","4",NULL,NULL,"1","1","G","1","-24","82",NULL,"1","92","1","1","0"
"93","104","Haunter","90","20","1","5","4",NULL,NULL,"1","1","G","1","-24","82",NULL,"2","92","1","1","1"
"94","105","Gengar","45","20","1","5","4",NULL,NULL,"1","1","G","1","-24","144",NULL,"3","92","3","0","1"
"95","106","Onix","45","25","1","5","2",NULL,NULL,"1","3","E","4","-24","108",NULL,"1","95","1","1","0"
"96","108","Drowzee","190","20","1","5","2",NULL,NULL,"3","1","F","1","-24","82",NULL,"1","96","1","1","0"
"97","109","Hypno","75","20","1","5","2",NULL,NULL,"3","1","F","1","-24","82",NULL,"2","96","1","0","1"
"98","110","Krabby","225","20","1","5","2",NULL,NULL,"9","5","B","1","-24","82",NULL,"1","98","1","1","0"
"99","111","Kingler","60","20","1","5","2",NULL,NULL,"9","5","B","1","-24","82",NULL,"2","98","2","0","1"
"100","112","Voltorb","190","20","1","1","2",NULL,NULL,"8","2","C","1","-24","144",NULL,"1","100","2","1","0"
"101","113","Electrode","60","20","1","1","2",NULL,NULL,"8","2","C","1","-24","82","-64","2","100","2","0","1"
"102","114","Exeggcute","90","20","1","5","1",NULL,NULL,"2","1","B","1","-24","144","-64","1","102","1","1","0"
"103","115","Exeggutor","45","20","1","5","1",NULL,NULL,"2","1","B","1","-24","144","-64","2","102","2","0","1"
"104","116","Cubone","190","20","1","5","2",NULL,NULL,"4","3","F","1","-24","82",NULL,"1","104","1","1","0"
"105","117","Marowak","75","20","1","5","2",NULL,NULL,"4","3","F","1","-24","82",NULL,"2","104","2","0","1"
"106","119","Hitmonlee","45","25","1","8","2",NULL,NULL,"8","3","C","1","-24","82",NULL,"2","236","1","0","1"
"107","120","Hitmonchan","45","25","1","8","2",NULL,NULL,"8","3","C","1","-24","82",NULL,"2","236","1","0","1"
"108","122","Lickitung","45","20","1","5","2",NULL,NULL,"3","2","G","1","-24","64",NULL,"1","108","1","1","0"
"109","124","Koffing","190","20","1","5","2",NULL,NULL,"8","3","E","1","-24","108",NULL,"1","109","1","1","0"
"110","125","Weezing","60","20","1","5","2",NULL,NULL,"8","3","E","1","-24","108",NULL,"2","109","2","0","1"
"111","126","Rhyhorn","120","20","1","5","1",NULL,NULL,"6","3","E","1","-24","108",NULL,"1","111","1","1","0"
"112","127","Rhydon","60","20","1","5","1",NULL,NULL,"6","3","E","1","-24","-22",NULL,"2","111","1","1","1"
"113","130","Chansey","30","40","1","2","3",NULL,NULL,"8","2","H","1","-24","169",NULL,"2","440","1","1","1"
"114","132","Tangela","45","20","1","5","2",NULL,NULL,"3","1","G","1","-24","108",NULL,"1","114","1","1","0"
"115","134","Kangaskhan","45","20","1","2","2",NULL,NULL,"3","2","B","1","-24","169",NULL,"1","115","2","0","0"
"116","135","Horsea","225","20","1","5","2",NULL,NULL,"7","5","C","1","-24","82",NULL,"1","116","1","1","0"
"117","136","Seadra","75","20","1","5","2",NULL,NULL,"7","5","C","1","-24","82",NULL,"2","116","1","1","1"
"118","138","Goldeen","225","20","1","5","2",NULL,NULL,"9","4","A","1","-24","82",NULL,"1","118","1","1","0"
"119","139","Seaking","60","20","1","5","2",NULL,NULL,"9","4","A","1","-24","107",NULL,"2","118","1","0","1"
"120","140","Staryu","225","20","1","1","1",NULL,NULL,"7","5","C","1","-24","82",NULL,"1","120","1","1","0"
"121","141","Starmie","60","20","1","1","1",NULL,NULL,"7","5","C","1","-24","82","-64","2","120","1","0","1"
"122","143","Mr. Mime","45","25","1","5","2",NULL,NULL,"8","2","F","1","-24","82",NULL,"2","439","2","1","1"
"123","145","Scyther","45","25","1","5","2",NULL,NULL,"3","2","D","1","-24","144",NULL,"1","123","1","2","0"
"124","149","Jynx","45","25","1","2","2",NULL,NULL,"8","2","G","1","-24","82",NULL,"2","238","1","0","1"
"125","151","Electabuzz","45","25","1","6","2",NULL,NULL,"3","3","C","1","-24","82",NULL,"2","239","1","1","1"
"126","154","Magmar","45","25","1","6","2",NULL,NULL,"4","3","C","1","-24","108",NULL,"2","240","1","1","1"
"127","156","Pinsir","45","25","1","5","1",NULL,NULL,"2","1","C","1","-24","144",NULL,"1","127","2","0","0"
"128","157","Tauros","45","20","1","8","1",NULL,NULL,"3","2","C","1","-24","108",NULL,"1","128","4","0","0"
"129","158","Magikarp","255","5","1","5","1",NULL,NULL,"9","4","C","1","-24","82","-64","1","129","1","1","0"
"130","159","Gyarados","45","5","1","5","1",NULL,NULL,"9","4","C","4","-24","107","-64","2","129","2","0","1"
"131","160","Lapras","45","40","1","5","1",NULL,NULL,"7","5","B","2","-24","82",NULL,"1","131","2","0","0"
"132","161","Ditto","35","20","1","1","2",NULL,NULL,"8","2","A","1","-24","108","-64","1","132","1","0","0"
"133","162","Eevee","45","35","1","7","2",NULL,NULL,"8","2","F","1","-24","169",NULL,"1","133","3","8","0"
"134","163","Vaporeon","45","35","1","7","2",NULL,NULL,"8","2","F","1","-24","82",NULL,"2","133","1","0","1"
"135","164","Jolteon","45","35","1","7","2",NULL,NULL,"8","2","F","1","-24","82",NULL,"2","133","1","0","1"
"136","165","Flareon","45","35","1","7","2",NULL,NULL,"8","2","F","1","-24","82",NULL,"2","133","1","0","1"
"137","171","Porygon","45","20","1","1","2",NULL,NULL,"8","2","E","1","-24","82",NULL,"1","137","1","1","0"
"138","174","Omanyte","45","30","1","7","2","5",NULL,"7","5","E","1","-24","82",NULL,"1","138","1","1","0"
"139","175","Omastar","45","30","1","7","2","5",NULL,"7","5","E","1","-24","82",NULL,"2","138","1","0","1"
"140","176","Kabuto","45","30","1","7","2","5",NULL,"7","5","E","1","-24","82",NULL,"1","140","1","1","0"
"141","177","Kabutops","45","30","1","7","2","5",NULL,"7","5","E","1","-24","82",NULL,"2","140","1","0","1"
"142","178","Aerodactyl","45","35","1","7","1","5",NULL,"4","3","D","1","-24","108",NULL,"1","142","2","0","0"
"143","180","Snorlax","25","40","1","7","1",NULL,NULL,"4","2","E","1","-24","107",NULL,"2","446","2","0","1"
"144","181","Articuno","3","80","1","1","1","7",NULL,"5","3","C","2","1000",NULL,NULL,"1","144","2","0","0"
"145","182","Zapdos","3","80","1","1","1","7",NULL,"5","3","C","2","1000",NULL,NULL,"1","145","2","0","0"
"146","183","Moltres","3","80","1","1","1","7",NULL,"5","3","C","2","1000",NULL,NULL,"1","146","2","0","0"
"147","184","Dratini","45","40","1","5","1","6",NULL,"9","4","D","1","-24","82",NULL,"1","147","1","1","0"
"148","185","Dragonair","45","40","1","5","1","6",NULL,"9","4","D","1","-24","82",NULL,"2","147","1","1","1"
"149","186","Dragonite","45","40","1","5","1","6",NULL,"9","3","D","1","-24","108","-64","3","147","1","0","1"
"150","187","Mewtwo","3","120","1","1","1","7",NULL,"5","2","C","1","1000",NULL,NULL,"1","150","3","0","0"
"151","188","Mew","45","120","1","1","4","8",NULL,"5","1","H","1","-24","82",NULL,"1","151","1","0","0"
"152","189","Chikorita","45","20","2","7","4","1",NULL,"3","2","H","1","-24","169",NULL,"1","152","1","1","0"
"153","190","Bayleef","45","20","2","7","4","1",NULL,"3","2","H","1","-24","107",NULL,"2","152","1","1","1"
"154","191","Meganium","45","20","2","7","4","1",NULL,"3","2","H","1","-24","107",NULL,"3","152","1","0","1"
"155","192","Cyndaquil","45","20","2","7","4","2",NULL,"3","2","C","1","-24","169",NULL,"1","155","1","1","0"
"156","193","Quilava","45","20","2","7","4","2",NULL,"3","2","C","1","-24","82",NULL,"2","155","1","1","1"
"157","194","Typhlosion","45","20","2","7","4","2",NULL,"3","2","C","1","-24","82",NULL,"3","155","2","0","1"
"158","195","Totodile","45","20","2","7","4","3",NULL,"9","4","E","1","-24","82",NULL,"1","158","1","1","0"
"159","196","Croconaw","45","20","2","7","4","3",NULL,"9","4","E","1","-24","82",NULL,"2","158","1","1","1"
"160","197","Feraligatr","45","20","2","7","4","3",NULL,"9","3","E","1","-24","64",NULL,"3","158","1","0","1"
"161","198","Sentret","255","15","2","5","2",NULL,NULL,"3","2","D","1","-24","144",NULL,"1","161","1","1","0"
"162","199","Furret","90","15","2","5","2",NULL,NULL,"3","2","D","1","-24","108",NULL,"2","161","1","0","1"
"163","200","Hoothoot","255","15","2","5","2",NULL,NULL,"2","1","A","1","-24","144","-64","1","163","1","1","0"
"164","201","Noctowl","90","15","2","5","2",NULL,NULL,"2","1","A","1","-24","108","-64","2","163","1","0","1"
"165","202","Ledyba","255","15","2","5","3",NULL,NULL,"2","2","F","1","-24","144",NULL,"1","165","1","1","0"
"166","203","Ledian","90","15","2","5","3",NULL,NULL,"2","2","F","1","-24","108",NULL,"2","165","1","0","1"
"167","204","Spinarak","255","15","2","5","3",NULL,NULL,"2","2","F","1","-24","144",NULL,"1","167","1","1","0"
"168","205","Ariados","90","15","2","5","3",NULL,NULL,"2","2","F","1","-24","108",NULL,"2","167","1","0","1"
"169","46","Crobat","90","15","2","5","2",NULL,NULL,"1","3","D","1","-24","108",NULL,"3","41","1","0","1"
"170","206","Chinchou","190","20","2","5","1",NULL,NULL,"7","5","A","1","-24","16",NULL,"1","170","1","1","0"
"171","207","Lanturn","75","20","2","5","1",NULL,NULL,"7","5","A","1","-24","16",NULL,"2","170","1","0","1"
"172","25","Pichu","190","10","2","5","2","4",NULL,"2","2","D","1","-24","169",NULL,"1","172","2","1","0"
"173","36","Cleffa","150","10","2","4","3","4",NULL,"4","2","B","1","-24","169",NULL,"1","173","1","1","0"
"174","41","Igglybuff","170","10","2","4","3","4",NULL,"3","2","B","1","-24","169",NULL,"1","174","1","1","0"
"175","208","Togepi","190","10","2","7","3","4",NULL,"2","2","H","1","-24","169",NULL,"1","175","1","1","0"
"176","209","Togetic","75","10","2","7","3",NULL,NULL,"2","2","H","1","-24","82",NULL,"2","175","1","1","1"
"177","211","Natu","190","20","2","5","2",NULL,NULL,"2","1","F","1","-24","82",NULL,"1","177","1","1","0"
"178","212","Xatu","75","20","2","5","2",NULL,NULL,"2","1","F","1","-24","82",NULL,"2","177","1","0","1"
"179","213","Mareep","235","20","2","5","4",NULL,NULL,"3","2","F","1","-24","82",NULL,"1","179","1","1","0"
"180","214","Flaaffy","120","20","2","5","4",NULL,NULL,"3","2","F","1","-24","82",NULL,"2","179","1","1","1"
"181","215","Ampharos","45","20","2","5","4",NULL,NULL,"3","2","F","1","-24","144","-64","3","179","2","0","1"
"182","50","Bellossom","45","20","2","5","4",NULL,NULL,"3","1","B","1","-24","169",NULL,"3","43","1","0","1"
"183","217","Marill","190","10","2","5","3",NULL,NULL,"9","4","D","1","-24","64",NULL,"2","298","1","1","1"
"184","218","Azumarill","75","10","2","5","3",NULL,NULL,"9","4","D","1","-24","108","-64","3","298","1","0","1"
"185","220","Sudowoodo","65","20","2","5","2",NULL,NULL,"2","3","E","1","-24","144","-64","2","438","1","0","1"
"186","70","Politoed","45","20","2","5","4",NULL,NULL,"9","4","F","1","-24","82",NULL,"3","60","1","0","1"
"187","221","Hoppip","255","20","2","5","4",NULL,NULL,"3","2","H","1","-24","82",NULL,"1","187","1","1","0"
"188","222","Skiploom","120","20","2","5","4",NULL,NULL,"3","2","H","1","-24","108",NULL,"2","187","1","1","1"
"189","223","Jumpluff","45","20","2","5","4",NULL,NULL,"3","2","H","1","-24","108",NULL,"3","187","1","0","1"
"190","224","Aipom","45","20","2","5","3",NULL,NULL,"2","1","F","1","-24","108","-64","1","190","1","1","0"
"191","226","Sunkern","235","20","2","5","4",NULL,NULL,"3","2","B","1","-24","144",NULL,"1","191","1","1","0"
"192","227","Sunflora","120","20","2","5","4",NULL,NULL,"3","2","B","1","-24","144",NULL,"2","191","1","0","1"
"193","228","Yanma","75","20","2","5","2",NULL,NULL,"2","2","D","1","-24","144",NULL,"1","193","1","1","0"
"194","230","Wooper","255","20","2","5","2",NULL,NULL,"9","4","G","1","-24","82",NULL,"1","194","2","2","0"
"195","231","Quagsire","90","20","2","5","2",NULL,NULL,"9","4","G","1","-24","82",NULL,"2","194","1","0","1"
"196","166","Espeon","45","35","2","7","2",NULL,NULL,"8","2","F","1","-24","82","-64","2","133","1","0","1"
"197","167","Umbreon","45","35","2","7","2",NULL,NULL,"8","2","F","1","-24","107",NULL,"2","133","1","0","1"
"198","233","Murkrow","30","20","2","5","4",NULL,NULL,"2","1","D","1","-24","108",NULL,"1","198","1","1","0"
"199","89","Slowking","70","20","2","5","2",NULL,NULL,"9","4","B","1","-24","82",NULL,"2","79","2","0","1"
"200","235","Misdreavus","45","25","2","5","3",NULL,NULL,"1","1","G","1","-24","82",NULL,"1","200","1","1","0"
"201","237","Unown","225","40","2","1","2",NULL,NULL,"5","1","A","1","-24","82",NULL,"1","201","28","0","0"
"202","239","Wobbuffet","45","20","2","5","2",NULL,NULL,"1","2","E","1","-24","82","-64","2","360","1","0","1"
"203","240","Girafarig","60","20","2","5","2",NULL,NULL,"3","2","F","1","-24","82",NULL,"1","203","1","1","0"
"204","242","Pineco","190","20","2","5","2",NULL,NULL,"2","1","E","1","-24","108",NULL,"1","204","1","1","0"
"205","243","Forretress","75","20","2","5","2",NULL,NULL,"2","1","E","1","-24","108",NULL,"2","204","1","0","1"
"206","244","Dunsparce","190","20","2","5","2",NULL,NULL,"1","1","A","1","-24","108",NULL,"1","206","1","1","0"
"207","246","Gligar","60","20","2","5","4",NULL,NULL,"4","3","C","1","-24","108",NULL,"1","207","1","1","0"
"208","107","Steelix","25","25","2","5","2",NULL,NULL,"1","3","E","4","-24","108",NULL,"2","95","2","0","1"
"209","248","Snubbull","190","20","2","4","3",NULL,NULL,"8","2","B","1","-24","82",NULL,"1","209","1","1","0"
"210","249","Granbull","75","20","2","4","3",NULL,NULL,"8","2","B","1","-24","169",NULL,"2","209","1","0","1"
"211","250","Qwilfish","45","20","2","5","2",NULL,NULL,"7","5","C","1","-24","82",NULL,"1","211","2","1","0"
"212","146","Scizor","25","25","2","5","2",NULL,NULL,"3","2","D","1","-24","108",NULL,"2","123","2","0","1"
"213","252","Shuckle","190","20","2","5","4",NULL,NULL,"4","5","E","1","-24","108","-64","1","213","1","0","0"
"214","253","Heracross","45","25","2","5","1",NULL,NULL,"2","1","C","1","-24","108",NULL,"1","214","2","0","0"
"215","254","Sneasel","60","20","2","5","4",NULL,NULL,"2","3","F","1","-24","82",NULL,"1","215","2","2","0"
"216","257","Teddiursa","120","20","2","5","2",NULL,NULL,"4","1","B","1","-24","144",NULL,"1","216","1","1","0"
"217","258","Ursaring","60","20","2","5","2",NULL,NULL,"4","1","B","1","-24","82",NULL,"2","216","1","1","1"
"218","260","Slugma","190","20","2","5","2",NULL,NULL,"4","3","E","1","-24","108",NULL,"1","218","1","1","0"
"219","261","Magcargo","75","20","2","5","2",NULL,NULL,"4","3","E","1","-24","-22",NULL,"2","218","1","0","1"
"220","262","Swinub","225","20","2","5","1",NULL,NULL,"1","3","A","1","-24","144",NULL,"1","220","1","1","0"
"221","263","Piloswine","75","20","2","5","1",NULL,NULL,"1","3","A","1","-24","108",NULL,"2","220","1","1","1"
"222","265","Corsola","60","20","2","4","3",NULL,NULL,"7","5","E","1","-24","82","-64","1","222","2","1","0"
"223","267","Remoraid","190","20","2","5","2",NULL,NULL,"7","5","C","1","-24","82",NULL,"1","223","1","1","0"
"224","268","Octillery","75","20","2","5","2",NULL,NULL,"7","5","C","1","-24","82",NULL,"2","223","1","0","1"
"225","269","Delibird","45","20","2","5","3",NULL,NULL,"4","3","B","1","-24","82",NULL,"1","225","1","0","0"
"226","271","Mantine","25","25","2","5","1",NULL,NULL,"7","5","H","2","-24","82",NULL,"2","458","1","0","1"
"227","272","Skarmory","25","25","2","5","1",NULL,NULL,"6","3","C","1","-24","144",NULL,"1","227","1","0","0"
"228","273","Houndour","120","20","2","5","1",NULL,NULL,"6","3","C","1","-24","144",NULL,"1","228","1","1","0"
"229","274","Houndoom","45","20","2","5","1",NULL,NULL,"6","3","C","1","-24","108",NULL,"2","228","2","0","1"
"230","137","Kingdra","45","20","2","5","2",NULL,NULL,"7","5","C","1","-24","82",NULL,"3","116","1","0","1"
"231","275","Phanpy","120","20","2","5","2",NULL,NULL,"6","3","E","1","-24","108",NULL,"1","231","1","1","0"
"232","276","Donphan","60","20","2","5","2",NULL,NULL,"6","3","E","1","-24","82",NULL,"2","231","1","0","1"
"233","172","Porygon2","45","20","2","1","2",NULL,NULL,"8","2","E","1","-24","82",NULL,"2","137","1","1","1"
"234","277","Stantler","45","20","2","5","1",NULL,NULL,"2","2","G","1","-24","108",NULL,"1","234","1","1","0"
"235","279","Smeargle","45","20","2","5","3",NULL,NULL,"8","2","F","1","-24","82",NULL,"1","235","1","0","0"
