"pkmnFormId","pkmnSpeciesId","orderNum","name","formName","formTypeId","regionId","isDefault","isBattleOnly","isCosmetic","isEvent","isSexuallyDimorphic","isSpecial","typeId1","typeId2","hp","att","def","spAtt","spDef","spd","specialStat","height","weight","generationId","genderRatioId","colorId","shapeId","abilityId1","abilityId2","abilityIdHidden","eggGroupId1","eggGroupId2","category","friendship","exp","hpEVs","attEVs","defEVs","spAttEVs","spDefEVs","spdEVs","friendAreaId","isGigantic","pSpeed","pPower","pSkill","pStamina","pJump","pokeAPIId","pokeAPIPokemonId"
"11","6","3","Gigantamax Charizard","Gigantamax Form","2",NULL,"0","1","0","0","0","0","10","3","78","84","78","109","85","100",NULL,"280",NULL,"8","7","8","6","66",NULL,"94","1","14","Flame","50","317","0","0","0","3","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10364","10196"
"12","7","0","Squirtle",NULL,NULL,NULL,"1","0","0","0","0","0","11",NULL,"44","48","65","50","64","43","50","5","90","1","7","2","6","67",NULL,"44","1","2","Tiny Turtle","50","63","0","0","1","0","0","0","25","0","1,3,3","1,1,3","2,3,4","2,4,4","2,2,2","7","7"
"13","8","0","Wartortle",NULL,NULL,NULL,"1","0","0","0","0","0","11",NULL,"59","63","80","65","80","58","65","10","225","1","7","2","6","67",NULL,"44","1","2","Turtle","50","142","0","0","1","0","1","0","25","0","1,2,4","2,2,3","3,4,5","1,3,4","2,3,3","8","8"
"14","9","0","Blastoise",NULL,NULL,NULL,"1","0","0","0","0","0","11",NULL,"79","83","100","85","105","78","85","16","855","1","7","2","6","67",NULL,"44","1","2","Shellfish","50","265","0","0","0","0","3","0","25","0","3,3,3","2,4,5","1,2,3","3,4,5","2,2,3","9","9"
"15","9","1","Mega Blastoise","Mega","3",NULL,"0","1","0","0","0","0","11",NULL,"79","103","120","135","115","78",NULL,"16","1011","6","7","2","6","178",NULL,NULL,"1","2","Shellfish","50","315","0","0","0","0","3","0",NULL,"0",NULL,NULL,NULL,NULL,NULL,"10136","10036"
"16","9","2","Gigantamax Blastoise","Gigantamax Form","2",NULL,"0","1","0","0","0","0","11",NULL,"79","83","100","85","105","78",NULL,"250",NULL,"8","7","2","6","67",NULL,"44","1","2","Shellfish","50","315","0","0","0","0","3","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10365","10197"
"17","10","0","Caterpie",NULL,NULL,NULL,"1","0","0","0","0","0","7",NULL,"45","30","35","20","20","45","20","3","29","1","5","5","14","19",NULL,"50","3",NULL,"Worm","50","39","1","0","0","0","0","0","66","0","1,2,3","1,1,3","1,4,4","1,2,3","2,2,2","10","10"
"18","11","0","Metapod",NULL,NULL,NULL,"1","0","0","0","0","0","7",NULL,"50","20","55","25","25","30","25","7","99","1","5","5","2","61",NULL,NULL,"3",NULL,"Cocoon","50","72","0","0","2","0","0","0","66","0","1,1,3","1,1,3","1,1,1","3,4,5","2,2,3","11","11"
"19","12","0","Butterfree",NULL,NULL,NULL,"1","0","0","0","1","0","7","3","60","45","50","90","80","70","80","11","320","1","5","9","13","14",NULL,"110","3",NULL,"Butterfly","50","198","0","0","0","2","1","0","66","0","1,2,4","1,2,3","1,2,3","1,2,3","4,5,5","12","12"
"20","12","1","Gigantamax Butterfree","Gigantamax Form","2",NULL,"0","1","0","0","0","0","7","3","60","45","50","90","80","70",NULL,"170",NULL,"8","5","9","13","14",NULL,"110","3",NULL,"Butterfly","50","198","0","0","0","2","1","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10366","10198"
"21","13","0","Weedle",NULL,NULL,NULL,"1","0","0","0","0","0","7","4","40","35","30","20","20","50","20","3","32","1","5","3","14","19",NULL,"50","3",NULL,"Hairy Bug","50","39","0","0","0","0","0","1","66","0","1,1,3","1,2,4","1,3,4","1,1,3","2,2,2","13","13"
"22","14","0","Kakuna",NULL,NULL,NULL,"1","0","0","0","0","0","7","4","45","25","50","25","25","35","25","6","100","1","5","10","2","61",NULL,NULL,"3",NULL,"Cocoon","50","72","0","0","2","0","0","0","66","0","1,1,3","1,1,3","1,1,1","3,4,5","2,2,3","14","14"
"23","15","0","Beedrill",NULL,NULL,NULL,"1","0","0","0","0","0","7","4","65","90","40","45","80","75","45","10","295","1","5","10","13","68",NULL,"97","3",NULL,"Poison Bee","50","198","0","2","0","0","1","0","66","0","2,3,4","1,1,4","2,3,4","1,2,2","4,5,5","15","15"
"24","15","1","Mega Beedrill","Mega","3",NULL,"0","1","0","0","0","0","7","4","65","150","40","15","80","145",NULL,"14","405","6","5","10","13","91",NULL,NULL,"3",NULL,"Poison Bee","50","248","0","2","0","0","1","0",NULL,"0",NULL,NULL,NULL,NULL,NULL,"10192","10090"
"25","16","0","Pidgey",NULL,NULL,NULL,"1","0","0","0","0","0","1","3","40","45","40","35","35","56","35","3","18","1","5","3","9","51","77","145","4",NULL,"Tiny Bird","50","50","0","0","0","0","0","1","67","0","2,3,5","1,2,3","1,3,4","1,2,3","3,3,5","16","16"
"26","17","0","Pidgeotto",NULL,NULL,NULL,"1","0","0","0","0","0","1","3","63","60","55","50","50","71","50","11","300","1","5","3","9","51","77","145","4",NULL,"Bird","50","122","0","0","0","0","0","2","67","0","1,3,4","1,2,3","1,2,3","2,2,4","4,5,5","17","17"
"27","18","0","Pidgeot",NULL,NULL,NULL,"1","0","0","0","0","0","1","3","83","80","75","70","70","101","70","15","395","1","5","3","9","51","77","145","4",NULL,"Bird","50","240","0","0","0","0","0","3","67","0","1,3,4","2,3,5","1,2,3","2,3,4","4,5,5","18","18"
"28","18","1","Mega Pidgeot","Mega","3",NULL,"0","1","0","0","0","0","1","3","83","80","80","135","80","121",NULL,"22","505","6","5","3","9","99",NULL,NULL,"4",NULL,"Bird","50","290","0","0","0","0","0","3",NULL,"0",NULL,NULL,NULL,NULL,NULL,"10175","10073"
"29","19","0","Rattata",NULL,NULL,NULL,"1","0","0","0","1","0","1",NULL,"30","56","35","25","35","72","25","3","35","1","5","7","8","50","62","55","5",NULL,"Mouse","50","51","0","0","0","0","0","1","77","0","3,5,5","1,1,3","1,3,3","1,1,3","2,2,3","19","19"
"30","19","1","Alolan Rattata","Alolan Form","5","7","0","0","0","0","0","0","17","1","30","56","35","25","35","72",NULL,"3","38","7","5","7","8","82","55","47","5",NULL,"Mouse","50","51","0","0","0","0","0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10193","10091"
"31","20","0","Raticate",NULL,NULL,NULL,"1","0","0","0","1","0","1",NULL,"55","81","60","50","70","97","50","7","185","1","5","3","8","50","62","55","5",NULL,"Mouse","50","145","0","0","0","0","0","2","77","0","2,4,5","2,3,4","1,3,3","1,2,3","2,3,3","20","20"
"32","20","1","Alolan Raticate","Alolan Form","5","7","0","0","0","0","0","0","17","1","75","71","70","40","80","77",NULL,"7","255","7","5","3","8","82","55","47","5",NULL,"Mouse","50","145","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10194","10092"
"33","21","0","Spearow",NULL,NULL,NULL,"1","0","0","0","0","0","1","3","40","60","30","31","31","70","31","3","20","1","5","3","9","51",NULL,"97","4",NULL,"Tiny Bird","50","52","0","0","0","0","0","1","3","0","2,3,5","1,2,4","1,1,3","1,1,3","3,3,5","21","21"
"34","22","0","Fearow",NULL,NULL,NULL,"1","0","0","0","0","0","1","3","65","90","65","61","61","100","61","12","380","1","5","3","9","51",NULL,"97","4",NULL,"Beak","50","155","0","0","0","0","0","2","3","0","2,4,4","3,4,5","1,1,3","1,2,3","4,5,5","22","22"
"35","23","0","Ekans",NULL,NULL,NULL,"1","0","0","0","0","0","4",NULL,"35","60","44","40","54","55","40","20","69","1","5","7","2","22","61","127","5","14","Snake","50","58","0","1","0","0","0","0","77","0","2,3,5","1,3,4","1,3,3","1,2,3","2,2,3","23","23"
"36","24","0","Arbok",NULL,NULL,NULL,"1","0","0","0","0","0","4",NULL,"60","95","69","65","79","80","65","35","650","1","5","7","2","22","61","127","5","14","Cobra","50","157","0","2","0","0","0","0","77","0","1,3,4","3,4,5","1,3,3","1,2,4","2,2,3","24","24"
"37","25","0","Pikachu",NULL,NULL,NULL,"1","0","0","0","1","0","13",NULL,"35","55","40","50","50","90","50","4","60","1","5","10","8","9",NULL,"31","5","6","Mouse","50","112","0","0","0","0","0","2","69","0","1,3,4","1,3,4","2,3,4","1,3,4","2,3,4","25","25"
"38","25","2","Pikachu Rock Star","Rock Star",NULL,NULL,"0","0","1","0","1","1","13",NULL,"35","55","40","50","50","90",NULL,"4","60","6","2","10","8","9",NULL,"31","15",NULL,"Mouse","50","112","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10182","10080"
"39","25","3","Pikachu Belle","Belle",NULL,NULL,"0","0","1","0","1","1","13",NULL,"35","55","40","50","50","90",NULL,"4","60","6","2","10","8","9",NULL,"31","15",NULL,"Mouse","50","112","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10183","10081"
"40","25","4","Pikachu Pop Star","Pop Star",NULL,NULL,"0","0","1","0","1","1","13",NULL,"35","55","40","50","50","90",NULL,"4","60","6","2","10","8","9",NULL,"31","15",NULL,"Mouse","50","112","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10184","10082"
"41","25","5","Pikachu Ph.D.","Ph.D.",NULL,NULL,"0","0","1","0","1","1","13",NULL,"35","55","40","50","50","90",NULL,"4","60","6","2","10","8","9",NULL,"31","15",NULL,"Mouse","50","112","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10185","10083"
"42","25","6","Pikachu Libre","Libre",NULL,NULL,"0","0","1","0","1","1","13",NULL,"35","55","40","50","50","90",NULL,"4","60","6","2","10","8","9",NULL,"31","15",NULL,"Mouse","50","112","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10186","10084"
"43","25","1","Cosplay Pikachu","Cosplay",NULL,NULL,"0","0","1","0","1","1","13",NULL,"35","55","40","50","50","90",NULL,"4","60","6","2","10","8","9",NULL,"31","15",NULL,"Mouse","50","112","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10187","10085"
"44","25","7","Original Cap Pikachu","Original Cap",NULL,NULL,"0","0","1","1","1","0","13",NULL,"35","55","40","50","50","90",NULL,"4","60","7","8","10","8","9",NULL,"31","15",NULL,"Mouse","50","112","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10196","10094"
"45","25","8","Hoenn Cap Pikachu","Hoenn Cap",NULL,NULL,"0","0","1","1","1","0","13",NULL,"35","55","40","50","50","90",NULL,"4","60","7","8","10","8","9",NULL,"31","15",NULL,"Mouse","50","112","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10197","10095"
"46","25","9","Sinnoh Cap Pikachu","Sinnoh Cap",NULL,NULL,"0","0","1","1","1","0","13",NULL,"35","55","40","50","50","90",NULL,"4","60","7","8","10","8","9",NULL,"31","15",NULL,"Mouse","50","112","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10198","10096"
"47","25","10","Unova Cap Pikachu","Unova Cap",NULL,NULL,"0","0","1","1","1","0","13",NULL,"35","55","40","50","50","90",NULL,"4","60","7","8","10","8","9",NULL,"31","15",NULL,"Mouse","50","112","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10199","10097"
"48","25","11","Kalos Cap Pikachu","Kalos Cap",NULL,NULL,"0","0","1","1","1","0","13",NULL,"35","55","40","50","50","90",NULL,"4","60","7","8","10","8","9",NULL,"31","15",NULL,"Mouse","50","112","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10200","10098"
"49","25","12","Alola Cap Pikachu","Alola Cap",NULL,NULL,"0","0","1","1","1","0","13",NULL,"35","55","40","50","50","90",NULL,"4","60","7","8","10","8","9",NULL,"31","15",NULL,"Mouse","50","112","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10201","10099"
"50","25","13","Partner Cap Pikachu","Partner Cap",NULL,NULL,"0","0","1","1","1","0","13",NULL,"35","55","40","50","50","90",NULL,"4","60","7","8","10","8","9",NULL,"31","15",NULL,"Mouse","50","112","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10267","10148"
"51","25","16","Gigantamax Pikachu","Gigantamax Form","2",NULL,"0","1","0","0","0","0","13",NULL,"35","55","40","50","50","90",NULL,"210",NULL,"8","5","10","8","9",NULL,"31","5","6","Mouse","50","112","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10367","10199"
"52","26","0","Raichu",NULL,NULL,NULL,"1","0","0","0","1","0","13",NULL,"60","90","55","90","80","110","90","8","300","1","5","10","6","9",NULL,"31","5","6","Mouse","50","243","0","0","0","0","0","3","69","0","1,2,3","2,4,5","1,4,5","1,4,5","2,2,3","26","26"
"53","26","1","Alolan Raichu","Alolan Form","5","7","0","0","0","0","0","0","13","14","60","85","50","95","85","110",NULL,"7","210","7","5","3","6","207",NULL,NULL,"5","6","Mouse","50","243","0","0","0","0","0","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10202","10100"
"54","27","0","Sandshrew",NULL,NULL,NULL,"1","0","0","0","0","0","5",NULL,"50","75","85","20","30","40","30","6","120","1","5","10","6","8",NULL,"146","5",NULL,"Mouse","50","60","0","0","1","0","0","0","29","0","1,3,4","1,3,3","2,3,5","1,2,3","2,2,3","27","27"
"55","27","1","Alolan Sandshrew","Alolan Form","5","7","0","0","0","0","0","0","15","9","50","75","90","10","35","40",NULL,"7","400","7","5","2","6","81",NULL,"202","5",NULL,"Mouse","50","60","0","0","1","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10203","10101"
"56","28","0","Sandslash",NULL,NULL,NULL,"1","0","0","0","0","0","5",NULL,"75","100","110","45","55","65","55","10","295","1","5","10","6","8",NULL,"146","5",NULL,"Mouse","50","158","0","0","2","0","0","0","29","0","1,2,3","2,3,4","3,4,5","1,3,3","2,2,2","28","28"
"57","28","1","Alolan Sandslash","Alolan Form","5","7","0","0","0","0","0","0","15","9","75","100","120","25","65","65",NULL,"12","550","7","5","9","6","81",NULL,"202","5",NULL,"Mouse","50","158","0","0","2","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10204","10102"
"58","29","0","Nidoran F",NULL,NULL,NULL,"1","0","0","0","0","0","4",NULL,"55","47","52","40","40","41","40","4","70","1","2","2","8","38","79","55","1","5","Poison Pin","50","55","1","0","0","0","0","0","78","0","2,4,5","1,2,3","1,2,3","1,3,3","2,2,3","29","29"
"59","30","0","Nidorina",NULL,NULL,NULL,"1","0","0","0","0","0","4",NULL,"70","62","67","55","55","56","55","8","200","1","2","2","8","38","79","55","15",NULL,"Poison Pin","50","128","2","0","0","0","0","0","78","0","1,3,4","2,3,4","1,2,3","2,3,4","2,2,3","30","30"
"60","31","0","Nidoqueen",NULL,NULL,NULL,"1","0","0","0","0","0","4","5","90","92","87","75","85","76","75","13","600","1","2","2","6","38","79","125","15",NULL,"Drill","50","253","3","0","0","0","0","0","78","0","1,2,3","2,4,5","1,3,3","3,5,5","2,2,2","31","31"
"61","32","0","Nidoran M",NULL,NULL,NULL,"1","0","0","0","0","0","4",NULL,"46","57","40","40","40","50","40","5","90","1","8","7","8","38","79","55","1","5","Poison Pin","50","55","0","1","0","0","0","0","78","0","2,4,5","1,2,4","1,2,3","1,1,2","2,2,3","32","32"
"62","33","0","Nidorino",NULL,NULL,NULL,"1","0","0","0","0","0","4",NULL,"61","72","57","55","55","65","55","9","195","1","8","7","8","38","79","55","1","5","Poison Pin","50","128","0","2","0","0","0","0","78","0","1,3,4","2,3,4","1,2,3","1,2,3","2,2,3","33","33"
"63","34","0","Nidoking",NULL,NULL,NULL,"1","0","0","0","0","0","4","5","81","102","77","85","75","85","75","14","620","1","8","7","6","38","79","125","1","5","Drill","50","253","0","3","0","0","0","0","78","0","1,2,3","3,5,5","1,3,3","1,3,4","2,2,2","34","34"
"64","35","0","Clefairy",NULL,NULL,NULL,"1","0","0","0","0","0","18",NULL,"70","45","48","60","65","35","60","6","75","1","4","6","6","56","98","132","6",NULL,"Fairy","140","113","2","0","0","0","0","0","33","0","1,4,5","1,1,3","2,3,5","1,2,4","2,2,3","35","35"
"65","36","0","Clefable",NULL,NULL,NULL,"1","0","0","0","0","0","18",NULL,"95","70","73","95","90","60","85","13","400","1","4","6","6","56","98","109","6",NULL,"Fairy","140","242","3","0","0","0","0","0","33","0","1,3,3","1,3,3","3,4,5","2,3,5","2,2,3","36","36"
"66","37","0","Vulpix",NULL,NULL,NULL,"1","0","0","0","0","0","10",NULL,"38","41","40","50","65","65","65","6","99","1","4","3","8","18",NULL,"70","5",NULL,"Fox","50","60","0","0","0","0","0","1","36","0","2,4,5","1,2,3","2,3,4","1,2,3","2,3,3","37","37"
"67","37","1","Alolan Vulpix","Alolan Form","5","7","0","0","0","0","0","0","15",NULL,"38","41","40","50","65","65",NULL,"6","99","7","4","9","8","81",NULL,"117","5",NULL,"Fox","50","60","0","0","0","0","0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10205","10103"
"68","38","0","Ninetales",NULL,NULL,NULL,"1","0","0","0","0","0","10",NULL,"73","76","75","81","100","100","100","11","199","1","4","10","8","18",NULL,"70","5",NULL,"Fox","50","177","0","0","0","0","1","1","36","0","2,3,4","1,2,3","2,4,5","1,2,3","2,3,3","38","38"
"69","38","1","Alolan Ninetales","Alolan Form","5","7","0","0","0","0","0","0","15","18","73","67","75","81","100","109",NULL,"11","199","7","4","2","8","81",NULL,"117","5",NULL,"Fox","50","177","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10206","10104"
"70","39","0","Jigglypuff",NULL,NULL,NULL,"1","0","0","0","0","0","1","18","115","45","20","45","25","20","25","5","55","1","4","6","12","56","172","132","6",NULL,"Balloon","50","95","2","0","0","0","0","0","81","0","2,3,5","1,2,3","2,2,4","1,3,5","2,3,3","39","39"
"71","40","0","Wigglytuff",NULL,NULL,NULL,"1","0","0","0","0","0","1","18","140","70","45","85","50","45","50","10","120","1","4","6","12","56","172","119","6",NULL,"Balloon","50","218","3","0","0","0","0","0","81","0","1,2,3","1,3,4","2,3,4","3,4,5","2,2,3","40","40"
"72","41","0","Zubat",NULL,NULL,NULL,"1","0","0","0","1","0","4","3","40","45","35","30","40","55","40","8","75","1","5","7","9","39",NULL,"151","4",NULL,"Bat","50","49","0","0","0","0","0","1","48","0","4,4,5","1,1,3","1,1,4","1,1,3","5,5,5","41","41"
"73","42","0","Golbat",NULL,NULL,NULL,"1","0","0","0","1","0","4","3","75","80","70","65","75","90","75","16","550","1","5","7","9","39",NULL,"151","4",NULL,"Bat","50","159","0","0","0","0","0","2","48","0","3,4,5","1,2,3","1,1,3","2,3,4","3,5,5","42","42"
"74","43","0","Oddish",NULL,NULL,NULL,"1","0","0","0","0","0","12","4","45","50","55","75","65","30","75","5","54","1","5","2","7","34",NULL,"50","7",NULL,"Weed","50","64","0","0","0","1","0","0","38","0","1,3,5","1,1,3","1,2,3","1,4,4","2,3,3","43","43"
"75","44","0","Gloom",NULL,NULL,NULL,"1","0","0","0","1","0","12","4","60","65","70","85","75","40","85","8","86","1","5","2","12","34",NULL,"1","7",NULL,"Weed","50","138","0","0","0","2","0","0","38","0","1,2,4","1,1,3","1,2,4","2,4,5","2,3,3","44","44"
"76","45","0","Vileplume",NULL,NULL,NULL,"1","0","0","0","1","0","12","4","75","80","85","110","90","50","100","12","186","1","5","8","12","34",NULL,"27","7",NULL,"Flower","50","245","0","0","0","3","0","0","38","0","1,2,2","1,3,3","1,3,3","2,5,5","2,2,3","45","45"
"77","46","0","Paras",NULL,NULL,NULL,"1","0","0","0","0","0","7","12","35","70","55","45","55","25","55","3","54","1","5","8","14","27","87","6","3","7","Mushroom","50","57","0","1","0","0","0","0","55","0","1,2,5","1,1,3","1,3,4","1,3,3","2,2,3","46","46"
"78","47","0","Parasect",NULL,NULL,NULL,"1","0","0","0","0","0","7","12","60","95","80","60","80","30","80","10","295","1","5","8","14","27","87","6","3","7","Mushroom","50","142","0","2","1","0","0","0","55","0","1,1,3","2,2,4","1,3,4","2,5,5","2,2,3","47","47"
"79","48","0","Venonat",NULL,NULL,NULL,"1","0","0","0","0","0","7","4","60","55","50","40","55","45","40","10","300","1","5","7","12","14","110","50","3",NULL,"Insect","50","61","0","0","0","0","1","0","58","0","2,4,5","1,2,3","1,2,3","1,3,4","2,2,3","48","48"
"80","49","0","Venomoth",NULL,NULL,NULL,"1","0","0","0","0","0","7","4","70","65","60","90","75","90","90","15","125","1","5","7","13","19","110","147","3",NULL,"Poison Moth","50","158","0","0","0","1","0","1","58","0","1,3,3","1,2,4","1,3,3","1,1,3","4,5,5","49","49"
"81","50","0","Diglett",NULL,NULL,NULL,"1","0","0","0","0","0","5",NULL,"10","55","25","35","45","95","45","2","8","1","5","3","5","8","71","159","5",NULL,"Mole","50","53","0","0","0","0","0","1","51","0","3,4,5","1,1,2","1,3,4","1,3,4","1,1,1","50","50"
"82","50","1","Alolan Diglett","Alolan Form","5","7","0","0","0","0","0","0","5","9","10","55","30","35","45","90",NULL,"2","10","7","5","3","5","8","221","159","5",NULL,"Mole","50","53","0","0","0","0","0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10207","10105"
"83","51","0","Dugtrio",NULL,NULL,NULL,"1","0","0","0","0","0","5",NULL,"35","100","50","50","70","120","70","7","333","1","5","3","11","8","71","159","5",NULL,"Mole","50","149","0","0","0","0","0","2","51","0","3,4,5","3,3,4","1,2,3","3,4,4","1,1,1","51","51"
"84","51","1","Alolan Dugtrio","Alolan Form","5","7","0","0","0","0","0","0","5","9","35","100","60","50","70","110",NULL,"7","666","7","5","3","11","8","221","159","5",NULL,"Mole","50","149","0","2","0","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10208","10106"
"85","52","0","Meowth",NULL,NULL,NULL,"1","0","0","0","0","0","1",NULL,"40","45","35","40","40","90","40","4","42","1","5","10","8","53","101","127","5",NULL,"Scratch Cat","50","58","0","0","0","0","0","1","69","0","2,4,4","1,1,2","1,4,4","1,1,1","2,3,4","52","52"
"86","52","1","Alolan Meowth","Alolan Form","5","7","0","0","0","0","0","0","17",NULL,"40","35","35","50","40","90",NULL,"4","42","7","5","2","8","53","101","155","5",NULL,"Scratch Cat","50","58","0","0","0","0","0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10209","10107"
"87","52","2","Galarian Meowth","Galarian Form","5","8","0","0","0","0","0","0","9",NULL,"50","65","55","40","40","40",NULL,"4","75","8","5","3","6","53","181","127","5",NULL,"Scratch Cat","50","58","0","1","0","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10320","10161"
"88","52","3","Gigantamax Meowth","Gigantamax Form","2",NULL,"0","1","0","0","0","0","1",NULL,"40","45","35","40","40","90",NULL,"330",NULL,"8","5","10","8","53","101","127","5",NULL,"Scratch Cat","50","58","0","0","0","0","0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10368","10200"
"89","53","0","Persian",NULL,NULL,NULL,"1","0","0","0","0","0","1",NULL,"65","70","60","65","65","115","65","10","320","1","5","10","8","7","101","127","5",NULL,"Classy Cat","50","154","0","0","0","0","0","2","69","0","2,4,5","1,2,3","1,3,5","1,1,1","3,4,4","53","53"
"90","53","1","Alolan Persian","Alolan Form","5","7","0","0","0","0","0","0","17",NULL,"65","60","60","75","65","115",NULL,"11","330","7","5","2","8","169","101","155","5",NULL,"Classy Cat","50","154","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10210","10108"
"91","54","0","Psyduck",NULL,NULL,NULL,"1","0","0","0","0","0","11",NULL,"50","52","48","65","50","55","50","8","196","1","5","10","6","6","13","33","2","5","Duck","50","64","0","0","0","1","0","0","25","0","1,2,5","1,2,5","1,2,5","1,2,5","2,2,4","54","54"
